,date,俄罗斯,美国,英国,法国,中国,俄罗斯k,中国k,美国k,英国k,法国k
130,05.29,387623,1768461,270511,186364,,8572,,22658,1891,3326
131,05.30,396575,1793530,272615,186924,,8952,,25069,2104,560
132,05.31,405843,1816820,276156,188752,,9268,,23290,3541,1828
133,06.01,414878,1837170,276156,189010,,9035,,20350,0,258
134,06.02,423186,1859323,277738,189348,,8308,,22153,1582,338
135,06.03,423186,1881205,279392,188450,,0,,21882,1654,-898
136,06.04,440538,1901783,281270,188802,,17352,,20578,1878,352
137,06.05,449256,1924051,284730,189569,,8718,,22268,3460,767
138,06.06,458102,1965708,286292,190180,,8846,,41657,1562,611
139,06.07,467073,1988544,287621,190759,,8971,,22836,1329,579
140,06.08,476043,2007449,288827,191102,,8970,,18905,1206,343
141,06.09,484630,2026493,288834,191313,,8587,,19044,7,211
142,06.10,493023,2045549,290581,191523,,8393,,19056,1747,210
143,06.11,501800,2066401,292854,192068,,8777,,20852,2273,545
144,06.12,510761,2089701,294401,192493,,8961,,23300,1547,425
145,06.13,519458,2116922,294402,193220,,8697,,27221,1,727
146,06.14,528267,2142224,297342,193746,,8809,,25302,2940,526
147,06.15,536484,2162228,297342,194153,,8217,,20004,0,407
148,06.16,544725,2182950,299594,194305,,8241,,20722,2252,152
149,06.17,552549,2208400,299600,194347,,7824,,25450,6,42
150,06.18,560279,2235727,301935,194805,,7730,,27327,2335,458
151,06.19,568292,2263651,303281,195272,,8013,,27924,1346,467
152,06.20,576162,2297190,304580,196083,,7870,,33539,1299,811
153,06.21,583879,2330578,305801,196724,,7717,,33388,1221,641
154,06.22,591465,2356657,305803,197008,,7586,,26079,2,284
155,06.23,598878,2388153,306761,197381,,7413,,31496,958,373
156,06.24,606043,2424168,307682,197804,,7165,,36015,921,423
157,06.25,613148,2463271,308337,197885,,7105,,39103,655,81
158,06.26,619936,2504588,310836,197885,,6788,,41317,2499,0
159,06.27,626779,2552956,310837,199473,,6843,,48368,1,1588
160,06.28,633542,2596537,312640,199473,,6763,,43581,1803,0
161,06.29,640246,2637077,313467,199476,,6704,,40540,827,3
162,06.30,646929,2681811,313470,201522,,6683,,44734,3,2046
163,07.01,653479,2727853,314991,202063,,6550,,46042,1521,541
164,07.02,660231,2779953,314992,203640,,6752,,52100,1,1577
165,07.03,666941,2835684,285268,203640,,6710,,55731,-29724,0
166,07.04,673564,2890588,285788,204222,,6623,,54904,520,582
167,07.05,680283,2935770,286931,204222,,6719,,45182,1143,0
168,07.06,686777,2982928,287290,204222,,6494,,47158,359,0
169,07.07,693215,3040833,287291,205597,,6438,,57905,1,1375
170,07.08,699749,3097084,288510,206072,,6534,,56251,1219,475
171,07.09,706179,3158932,288512,206735,,6430,,61848,2,663
172,07.10,712863,3219999,293015,207356,,6684,,61067,4503,621
173,07.11,719449,3291786,289679,208015,,6586,,71787,-3336,659
174,07.12,726036,3355646,290504,208015,,6587,,63860,825,0
175,07.13,732547,3413995,291155,208015,,6511,,58349,651,0
176,07.14,738787,3479483,291691,209640,,6240,,65488,536,1625
177,07.15,745197,3545077,293469,209641,,6410,,65594,1778,1
178,07.16,751612,3616827,293469,210568,,6415,,71750,0,927
179,07.17,758001,3695025,294803,211102,,6389,,78198,1334,534
180,07.18,764215,3770012,295631,211943,,6214,,74987,828,841
181,07.19,770311,3833271,295632,211943,,6096,,63259,1,0
182,07.20,776212,3898550,296364,211943,,5901,,65279,732,0
183,07.21,782040,3961429,297389,214023,,5828,,62879,1025,2080
184,07.22,787846,4028569,297391,214607,,5806,,67140,2,584
185,07.23,793720,4100875,298721,215605,,5874,,72306,1330,998
186,07.24,799499,4170318,299499,216667,,5779,,69443,778,1062
187,07.25,805332,4248327,300270,217797,,5833,,78009,771,1130
188,07.26,811073,4315709,300275,217801,,5741,,67382,5,4
189,07.27,816680,4371839,301020,217801,,5607,,56130,745,0
190,07.28,822060,4433410,301709,220352,,5380,,61571,689,2551
191,07.29,827509,4498343,303092,221077,,5449,,64933,1383,725
192,07.30,832993,4501116,303064,222469,,5484,,2773,-28,1392
193,07.31,838461,4634985,303913,222469,,5468,,133869,849,0
194,08.01,843890,4705889,305572,225197,,5429,,70904,1659,2728
195,08.02,849277,4764318,306315,225198,,5387,,58429,743,1
196,08.03,854641,4813647,306319,225198,,5364,,49329,4,0
197,08.04,859762,4862174,307252,228574,,5121,,48527,933,3376
198,08.05,864948,4918420,307258,228576,,5186,,56246,6,2
199,08.06,870187,4973568,307272,231310,,5239,,55148,14,2734
200,08.07,875378,5032278,309796,231310,,5191,,58710,2524,0
201,08.08,880563,5095524,310703,235208,,5185,,63246,907,3898
202,08.09,885718,5149723,311488,235212,,5155,,54199,785,4
203,08.10,890799,5199444,313390,239306,,5081,,49721,1902,4094
204,08.11,895691,5251446,313393,239355,,4892,,52002,3,49
205,08.12,900745,5305957,315560,241537,,5054,,54511,2167,2182
206,08.13,905762,5360302,315583,244096,,5017,,54345,23,2559
207,08.14,910778,5415666,315600,244096,,5016,,55364,17,0
208,08.15,915808,5476266,318193,249655,,5030,,60600,2593,5559
209,08.16,920719,5529789,319238,252965,,4911,,53523,1045,3310
210,08.17,925558,5566632,320345,255980,,4839,,36843,1107,3015
211,08.18,930276,5612027,321071,256534,,4718,,45395,726,554
212,08.19,935066,5655974,322990,256534,,4790,,43947,1919,0
213,08.20,939833,5700931,324190,256534,,4767,,44957,1200,0
214,08.21,944671,5746272,325239,267319,,4838,,45341,1049,10785
215,08.22,949531,5796737,326559,271960,,4860,,50465,1320,4641
216,08.23,954328,5841428,327636,275562,,4797,,44691,1077,3602
217,08.24,959016,5874146,328617,280459,,4688,,32718,981,4897
218,08.25,963655,5915630,328628,282414,,4639,,41484,11,1955
219,08.26,968297,5955728,329883,285902,,4642,,40098,1255,3488
220,08.27,972972,6000365,332491,297485,,4675,,44637,2608,11583
221,08.28,977730,6046634,332511,297485,,4758,,46269,20,0
222,08.29,982573,6096235,334915,304947,,4843,,49601,2404,7462
223,08.30,987470,6139078,336641,310400,,4897,,42843,1726,5453
224,08.31,992402,6173236,338079,315813,,4932,,34158,1438,5413
225,09.01,997072,6211796,338085,323968,,4670,,38560,6,8155
226,09.02,1001965,6257571,339420,330985,,4893,,45775,1335,7017
227,09.03,1006923,6290737,342684,331060,,4958,,33166,3264,75
228,09.04,1011987,6335244,342715,347195,,5064,,44507,31,16135
229,09.05,1017131,6389057,346506,347267,,5144,,53813,3791,72
230,09.06,1022228,6431152,349504,347268,,5097,,42095,2998,1
231,09.07,1027334,6460250,352448,367095,,5106,,29098,2944,19827
232,09.08,1032354,6485575,354876,367174,,5020,,25325,2428,79
233,09.09,1037526,6514231,357593,373788,,5172,,28656,2717,6614
234,09.10,1042836,6549475,357614,383293,,5310,,35244,21,9505
235,09.11,1048257,6588163,360544,392243,,5421,,38688,2930,8950
236,09.12,1053663,6636247,367590,402683,,5406,,48084,7046,10440
237,09.13,1059024,6676601,370928,402811,,5361,,40354,3338,128
238,09.14,1064438,6708458,370930,419557,,5414,,31857,2,16746
239,09.15,1069873,6749289,373559,425870,,5435,,40831,2629,6313
240,09.16,1075485,6788147,376676,443506,,5612,,38858,3117,17636
241,09.17,1081152,6828301,380680,443869,,5667,,40154,4004,363
242,09.18,1086955,6874596,384090,454302,,5803,,46295,3410,10433
243,09.19,1092915,6925941,388420,467519,,5960,,51345,4330,13217
244,09.20,1098958,6967403,392845,467614,,6043,,41462,4425,95
245,09.21,1105048,7004768,396744,491553,,6090,,37365,3899,23939
246,09.22,1111157,7046216,401127,496974,,6109,,41448,4383,5421
247,09.23,1117487,7097937,406060,507150,,6330,,51721,4933,10176
248,09.24,1123976,7139553,412249,520193,,6489,,41616,6189,13043
249,09.25,1131088,7185471,425765,536289,,7112,,45918,13516,16096
250,09.26,1138509,7244184,431816,552422,,7421,,58713,6051,16133
251,09.27,1146273,7287561,431824,552473,,7764,,43377,8,51
252,09.28,1154299,7321343,437520,577948,,8026,,33782,5696,25475
253,09.29,1162428,7361611,441582,581970,,8129,,40268,4062,4022
254,09.30,1170799,7406146,448734,590132,,8371,,44535,7152,8162
255,10.01,1179634,7447282,462774,604031,,8835,,41136,14040,13899
256,10.02,1188928,7494671,462781,616986,,9294,,47389,7,12955
257,10.03,1198663,7549323,469781,629431,,9735,,54652,7000,12445
258,10.04,1209039,7600846,482658,629509,,10376,,51523,12877,78
259,10.05,1219796,7636912,505619,663884,,10757,,36066,22961,34375
260,10.06,1231277,7679644,518227,664289,,11481,,42732,12608,405
261,10.07,1242258,7722746,532787,693383,,10981,,43102,14560,29094
262,10.08,1253603,7776224,546959,711642,,11345,,53478,14172,18259
263,10.09,1265572,7833763,564518,732043,,11969,,57539,17559,20401
264,10.10,1278245,7894478,578398,732434,,12673,,60715,13880,391
265,10.11,1291687,7945505,593574,732434,,13442,,51027,15176,0
266,10.12,1305093,7991998,606448,775564,,13406,,46493,12874,43130
267,10.13,1318783,8037789,620471,776097,,13690,,45791,14023,533
268,10.14,1332824,8090250,657449,820017,,14041,,52461,36978,43920
269,10.15,1346380,8150043,657474,820376,,13556,,59793,25,359
270,10.16,1361317,8216315,676468,850997,,14937,,66272,18994,30621
271,10.17,1376020,8288278,692126,876342,,14703,,71963,15658,25345
272,10.18,1390824,8342665,708311,876342,,14804,,54387,16185,0
273,10.19,1406667,8387799,744101,938735,,15843,,45134,35790,62393
274,10.20,1422775,8456653,744122,952600,,16108,,68854,21,13865
275,10.21,1438219,8520307,765500,973275,,15444,,63654,21378,20675
276,10.22,1453923,8584819,792212,1000369,,15704,,64512,26712,27094
277,10.23,1471000,8661651,813465,1042125,,17077,,76832,21253,41756
278,10.24,1487260,8746953,834029,1084659,,16260,,85302,20564,42534
279,10.25,1503652,8827932,857050,1130081,,16392,,80979,23021,45422
280,10.26,1520800,8889179,876844,1182153,,17148,,61247,19794,52072
281,10.27,1537142,8962783,897766,1209651,,16342,,73604,20922,27498
282,10.28,1553028,9038030,920667,1244398,,15886,,75247,22901,34747
283,10.29,1570446,9120751,945384,1280215,,17418,,82721,24717,35817
284,10.30,1588433,9212767,968461,1327853,,17987,,92016,23077,47638
285,10.31,1606267,9316297,992878,1377347,,17834,,103530,24417,49494
286,11.01,1624648,9402590,1014800,1412709,,18381,,86293,21922,35362
287,11.02,1642665,9473911,1038062,1458999,,18017,,71321,23262,46290
288,11.03,1661096,9567543,1057021,1460745,,18431,,93632,18959,1746
289,11.04,1680579,9692528,1077112,1543321,,19483,,124985,20091,82576
290,11.05,1699695,9801355,1102316,1591152,,19116,,108827,25204,47831
291,11.06,1720063,9919522,1126485,1648989,,20368,,118167,24169,57837
292,11.07,1740172,10058586,1149808,1709716,,20109,,139064,23323,60727
293,11.08,1760420,10182818,1174778,1709773,,20248,,124232,24970,57
294,11.09,1781997,10288480,1195362,1835187,,21577,,105662,20584,125414
295,11.10,1817109,10421956,1216747,1856292,,35112,,133476,21385,21105
296,11.11,1836960,10559184,1237198,1857309,,19851,,137228,20451,1017
297,11.12,1843678,10708630,1260220,1914919,,6718,,149446,23022,57610
298,11.13,1865395,10873936,1293728,1915282,,21717,,165306,33508,363
299,11.14,1887836,11064364,1321042,1915677,,22441,,190428,27314,395
300,11.15,1910149,11226038,1347922,1915713,,22313,,161674,26880,36
301,11.16,1932711,11366379,1372889,1981827,,22562,,140341,24967,66114
302,11.17,1954912,11538057,1394299,2041293,,22201,,171678,21410,59466
303,11.18,1975629,11695711,1414371,2087183,,20717,,157654,20072,45890
304,11.19,1998966,11873727,1434004,2115717,,23337,,178016,19633,28534
305,11.20,2023025,12070712,1456958,2137096,,24059,,196985,22954,21379
306,11.21,2047563,12274726,1477240,2160345,,24538,,204014,20282,23249
307,11.22,2071858,12450666,1497140,2178023,,24295,,175940,19900,17678
308,11.23,2096749,12588661,1515812,2191180,,24891,,137995,18672,13157
309,11.24,2120836,12777174,1531281,2195940,,24087,,188513,15469,4760
310,11.25,2144229,12955007,1542633,2206126,,23393,,177833,11352,10186
311,11.26,2169424,13137962,1560872,2221874,,25195,,182955,18239,15748
312,11.27,2196691,13248676,1578437,2235641,,27267,,110714,17565,13767
313,11.28,2223500,13454254,1593260,2248209,,26809,,205578,14823,12568
314,11.29,2249890,13610357,1609150,2260789,,26390,,156103,15890,12580
315,11.30,2275936,13750404,1621313,2270573,,26046,,140047,12163,9784
316,12.01,2302062,13919870,1633744,2275016,,26126,,169466,12431,4443
317,12.02,2327105,14108490,1647235,2275429,,25043,,188620,13491,413
318,12.03,2354934,14313941,1663471,2275677,,27829,,205451,16236,248
319,12.04,2382012,14535196,1678423,2310271,,27078,,221255,14952,34594
320,12.05,2410462,14772535,1694806,2321703,,28450,,237339,16383,11432
321,12.06,2439163,14983425,1710384,2334626,,28701,,210890,15578,12923
322,12.07,2466961,15159529,1727755,2345648,,27798,,176104,17371,11022
323,12.08,2492713,15369046,1742528,2349059,,25752,,209517,14773,3411
324,12.09,2518551,15591709,1754918,2363197,,25838,,222663,12390,14138
325,12.10,2546113,15820042,1771555,2377911,,27562,,228333,16637,14714
326,12.11,2574319,16039393,1792612,2391643,,28206,,219351,21057,13732
327,12.12,2602048,16295458,1814397,2405210,,27729,,256065,21785,13567
328,12.13,2629699,16549366,1835952,2405255,,27651,,253908,21555,45
329,12.14,2656601,16737267,1854490,2430612,,26902,,187901,18538,25357
330,12.15,2682866,16942822,1874889,2433859,,26265,,205555,20399,3247
331,12.16,2708940,17143779,1893447,2447458,,26074,,200957,18558,13599
332,12.17,2736727,17392618,1918768,2465246,,27787,,248839,25321,17788
333,12.18,2764843,17626770,1954311,2483661,,28116,,234152,35543,18415
334,12.19,2792615,17888353,1983017,2499739,,27772,,261583,28706,16078
335,12.20,2821125,18077768,2010121,2517137,,28510,,189415,27104,17398
336,12.21,2850042,18267579,2046199,2529756,,28917,,189811,36078,12619
337,12.22,2878382,18473716,2079726,2535781,,28340,,206137,33527,6025
338,12.23,2905196,18684628,2116609,2547643,,26814,,210912,36883,11862
339,12.24,2934695,18917152,2156077,2562615,,29499,,232524,39468,14972
340,12.25,2963290,19111326,2195222,2584471,,28595,,194174,39145,21856
341,12.26,2992123,19210166,2228021,2604595,,28833,,98840,32799,20124
342,12.27,3019972,19433847,2262735,2608277,,27849,,223681,34714,3682
343,12.28,3047335,19573847,2295273,2616510,,27363,,140000,32538,8233
344,12.29,3073923,19781624,2336791,2619669,,26588,,207777,41518,3159
345,12.30,3100018,19977704,2390143,2631175,,26095,,196080,53352,11506
346,12.31,3127347,20216991,2440202,2657773,,27329,,239287,50059,26598
347,01.01,3153960,20445654,2496403,2677806,,26613,,228663,56201,20033
348,01.02,3179898,20617346,2549781,2697014,,25938,,171692,53378,19208
349,01.03,3203743,20904701,2662534,2700480,,23845,,287355,112753,3466
350,01.04,3226758,21113528,2662806,2712975,,23015,,208827,272,12495
351,01.05,3250713,21353051,2721622,2717268,,23955,,239523,58816,4293
352,01.06,3274615,21578606,2782709,2738007,,23902,,225555,61087,20739
353,01.07,3297833,21857616,2845269,2763251,,23218,,279010,62560,25244
354,01.08,3321163,22132045,2898057,2763563,,23330,,274429,52788,312
355,01.09,3344175,22456902,2966337,2804888,,23012,,324857,68280,41325
356,01.10,3366715,22699938,3026348,2825063,,22540,,243036,60011,20175
357,01.11,3389733,22917334,3081368,2840864,,23018,,217396,55020,15801
358,01.12,3412390,23143197,3127643,2845030,,22657,,225863,46275,4166
359,01.13,3434934,23368225,3173406,2864509,,22544,,225028,45763,19479
360,01.14,3459237,23616345,3220956,2888448,,24303,,248120,47550,23939
361,01.15,3483531,23848410,3269760,2909926,,24294,,232065,48804,21478
362,01.16,3507201,24102429,3325645,2931646,,23670,,254019,55885,21720
363,01.17,3530379,24306043,3367070,2931885,,23178,,203614,41425,239
364,01.18,3552888,24482050,3405740,2969091,,22509,,176007,38670,37206
365,01.19,3574330,24626376,3443431,2973158,,21442,,144326,37691,4067
366,01.20,3595136,24809841,3476827,2996784,,20806,,183465,33396,23626
367,01.21,3616680,24998975,3515835,3023785,,21544,,189134,39008,27001
368,01.22,3637862,25196086,3553802,3046491,,21182,,197111,37967,22706
369,01.23,3658447,25390042,3594145,3070000,,20585,,193956,40343,23509
370,01.24,3679247,25566789,3627789,3093723,,20800,,176747,33644,23723
371,01.25,3698246,25702125,3657883,3112055,,18999,,135336,30094,18332
372,01.26,3716228,25861597,3680102,3116362,,17982,,159472,22219,4307
373,01.27,3733692,26011222,3700268,3138498,,17464,,149625,20166,22136
374,01.28,3752548,26166201,3725713,3165604,,18856,,154979,25445,27106
375,01.29,3771514,26338607,3754498,3166223,,18966,,172406,28785,619
376,01.30,3790265,26512193,3783593,3212736,,18751,,173586,29095,46513
377,01.31,3808348,26655740,3806993,3236840,,18083,,143547,23400,24104
378,02.01,3825739,26767229,3828183,3255920,,17391,,111489,21190,19080
379,02.02,3842145,26911375,3846851,3260431,,16406,,144146,18668,4511
380,02.03,3858367,27027347,3863757,3283696,,16222,,115972,16906,23265
381,02.04,3874830,27150457,3882972,3310051,,16463,,123110,19215,26355
382,02.05,3891274,27273890,3903706,3333519,,16444,,123433,20734,23468
383,02.06,3907653,27407324,3922910,3355678,,16379,,133434,19204,22159
384,02.07,3923461,27519636,3941273,3376266,,15808,,112312,18363,20588
385,02.08,3939162,27611403,3957182,3395985,,15701,,91767,15909,19719
386,02.09,3953970,27700629,3971319,3400549,,14808,,89226,14137,4564
387,02.10,3968228,27799946,3983756,3419210,,14258,,99317,12437,18661
388,02.11,3983031,27897214,3996839,3444888,,14803,,97268,13083,25678
389,02.12,3997898,28002240,4010376,3465966,,14867,,105026,13537,21078
390,02.13,4012538,28106704,4025577,3466789,,14640,,104464,15201,823
391,02.14,4026506,28196964,4038933,3467051,,13968,,90260,13356,262
392,02.15,4040505,28261470,4049924,3524450,,13999,,64506,10991,57399
393,02.16,4053535,28317703,4059696,3529072,,13030,,56233,9772,4622
394,02.17,4066164,28381220,4070334,3548963,,12629,,63517,10638,19891
395,02.18,4079407,28453526,4083092,3573641,,13243,,72306,12758,24678
396,02.19,4092649,28523524,4095187,3596156,,13242,,69998,12095,22515
397,02.20,4105424,28603813,4107286,3596240,,12775,,80289,12099,84
398,02.21,4117992,28706473,4117739,3597113,,12568,,102660,10453,873
399,02.22,4130447,28765423,4127574,3664700,,12455,,58950,9835,67587
400,02.23,4142126,28826307,4138233,3669562,,11679,,60884,10659,4862
401,02.24,4153735,28897718,4146756,3689534,,11609,,71411,8523,19972
402,02.25,4164802,28974623,4156726,3721063,,11067,,76905,9970,31529
403,02.26,4175757,29052262,4166747,3746476,,10955,,77639,10021,25413
404,02.27,4187166,29136912,4175318,3747263,,11409,,84650,8571,787
405,02.28,4198400,29202824,4182788,3747263,,11234,,65912,7470,0
406,03.01,4209850,29255344,4188827,3815639,,11450,,52520,6039,68376
407,03.02,4220291,29314254,4194295,3820369,,10441,,58910,5468,4730
408,03.03,4230707,29370705,4200717,3843241,,10416,,56451,6422,22872
409,03.04,4241970,29456377,4207125,3870144,,11263,,85672,6408,26903
410,03.05,4252876,29526086,4213765,3895430,,10906,,69709,6640,25286
411,03.06,4263785,29593704,4219791,3919633,,10909,,67618,6026,24203
412,03.07,4274263,29653891,4225906,3942244,,10478,,60187,6115,22611
413,03.08,4284408,29696250,4231166,3964078,,10145,,42359,5260,21834
414,03.09,4293750,29744652,4235995,3969615,,9342,,48402,4829,5537
415,03.10,4302726,29801506,4241858,3992759,,8976,,56854,5863,23144
416,03.11,4311893,29862124,4247879,4023186,,9167,,60618,6021,30427
